Run,TID,L1_hit,L2_hit,DRAM_hit,N_accesses,N_mem_stalls,N_L2_mem_stalls,N_L2_miss_mem_stalls,L1_cycles,L2_cycles,DRAM_cycles
cg.B.x_LARC_A,14,83.9,16.08712,0.012879999999996,322188096,,,,,,
cg.B.x_LARC_A,15,83.47,16.516776,0.013223999999994,322107386,,,,,,
cg.B.x_LARC_A,16,83.53,16.456824,0.013176000000001,322100207,,,,,,
cg.B.x_LARC_A,17,83.65,16.33692,0.013079999999988,322180820,,,,,,
cg.B.x_LARC_A,18,84.31,15.677448,0.012552,322162389,,,,,,
cg.B.x_LARC_A,19,84.29,15.697432,0.012568000000002,322204891,,,,,,
cg.B.x_LARC_A,20,83.61,16.376888,0.013112000000007,322134335,,,,,,
cg.B.x_LARC_A,21,84.25,15.7374,0.012599999999992,322227512,,,,,,
cg.B.x_LARC_A,22,84.21,15.777368,0.012631999999997,322218245,,,,,,
cg.B.x_LARC_A,23,84.12,15.867296,0.012703999999999,322200652,,,,,,
cg.B.x_LARC_A,24,85.42,14.568336,0.011663999999996,322436652,,,,,,
cg.B.x_LARC_A,25,85.77,14.218616,0.011384000000007,322526735,,,,,,
cg.B.x_LARC_A,26,85.32,14.668256,0.011744000000007,322357533,,,,,,
cg.B.x_LARC_A,27,85.02,14.968016,0.011983999999998,322414938,,,,,,
cg.B.x_LARC_A,28,85.15,14.83812,0.011879999999991,322468753,,,,,,
cg.B.x_LARC_A,29,85.65,14.33852,0.011479999999992,322485416,,,,,,
cg.B.x_LARC_A,30,85.43,14.558344,0.011655999999988,322489365,,,,,,
cg.B.x_LARC_A,31,85.02,14.968016,0.011983999999998,322410865,,,,,,
cg.B.x_LARC_C,0,82.88,17.101168,0.018832000000003,321971491,,,,,,
cg.B.x_LARC_C,1,81.98,18.000178,0.019821999999991,321830496,,,,,,
cg.B.x_LARC_C,2,81.83,18.150013,0.019987000000001,321860453,,,,,,
cg.B.x_LARC_C,3,82.16,17.820376,0.019624000000008,321883109,,,,,,
cg.B.x_LARC_C,4,82.78,17.201058,0.018941999999996,321958889,,,,,,
cg.B.x_LARC_C,5,82.25,17.730475,0.019525000000002,321823401,,,,,,
cg.B.x_LARC_C,6,82.07,17.910277,0.019722999999999,321831568,,,,,,
cg.B.x_LARC_C,7,82.85,17.131135,0.018865000000005,322084906,,,,,,
cg.B.x_LARC_C,8,81.99,17.990189,0.019811000000004,321843385,,,,,,
